"ID","Year","StateID","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"0010021998",1998,1,47.8,49.2,53.4,61.6,73.6,80.7,81.8,79.9,77.4,66.8,57.9,51.4
"0010021999",1999,1,49.4,51.8,52.8,67.1,69.5,76.7,80.5,81.8,73.3,63.6,56.2,47
"0010022000",2000,1,46.5,52.3,58.9,60.1,74,77.6,81.9,81,73.9,64.6,52.8,39.2
"0010022001",2001,1,41.2,52.6,51.4,64.7,70.6,75.8,79.7,78.5,71.9,60.6,58.8,50.6
"0010022002",2002,1,46.8,46,55,66.4,70.2,77.2,80.3,79.7,77.3,67.8,51,45.2
"0010022003",2003,1,40,48,57.6,63.3,71.6,75.6,78.5,79.4,73.1,63.5,58.2,44
"0010022004",2004,1,44.2,45.4,59,61.2,72.7,76.8,79.2,76.3,73.8,68.5,57.8,45.1
"0010022005",2005,1,49.2,51.2,53.5,61,68.3,76.7,80.4,80.5,76.9,63.8,55.8,43.4
"0010022006",2006,1,51.1,46.1,56.1,67.5,70.4,78.1,81.9,82.3,72.8,61.9,52.8,49.4
"0010022007",2007,1,46.7,44.8,60,60,71.2,78.8,79.2,84.4,76,66.5,53.6,51.6
"0010022008",2008,1,43,49.2,55.2,62.8,70.3,78.7,80,78.4,74.5,62.2,51,49.7
"0010022009",2009,1,45.3,48.2,57.3,61.4,71.2,79.4,78.1,78,75,62.8,53.4,44.8
"0010022010",2010,1,40,40.6,51.2,64.2,73.3,80.9,82.6,83,76.9,64.3,55.2,40.3
"0010022011",2011,1,41.1,49.5,57.8,65.7,69.9,81.2,81.7,81.8,72.1,60.6,55.3,49.3
"0010022012",2012,1,50.1,52.1,64.6,65,73.4,76.8,81.6,78.1,73,62.2,51.2,50.9
"0010022013",2013,1,50,48,49.8,62.2,68.2,78,77.7,77.9,75,64.9,51.6,47.9
"0010022014",2014,1,37.3,47.3,52.3,62.4,70.2,77.9,77.8,79.5,76.3,65.2,48.2,50
"0010022015",2015,1,43.6,41.3,57.8,66,71.8,78.8,81.6,79,74.4,65,59.2,56.9
"0010022016",2016,1,43,49.8,59.7,63.6,70.2,79.2,82,81.6,78.6,68.5,57.8,50.1
"0010022017",2017,1,52.4,55.6,58.4,67.2,69.9,75.8,80.6,78.8,73.4,65.8,55.6,46.9
"0010022018",2018,1,40.4,58,55.4,59.5,74.4,79.3,80.7,79.5,79.4,67.4,50.4,49
"0010022019",2019,1,46.5,56.1,55,63.5,74.2,78.1,80.6,80.6,80.2,67.8,50.6,51.3
"0020021998",1998,2,43.8,42,49,52.7,63,71.8,81.2,80.4,73.6,60.5,50.6,42.7
"0020021999",1999,2,45.4,48,53,53.2,65.3,74.5,78.3,77.8,72.6,64.2,55.1,42
"0020022000",2000,2,45.8,48.4,50.5,61.9,71.2,77.8,81.5,79.4,74.9,60.2,43.8,44.7
"0020022001",2001,2,40.3,44.2,51.8,57.5,70.8,77.5,79.8,79.1,75.6,64.7,52.9,40.2
"0020022002",2002,2,42.3,46.2,49.8,62,67,78.8,82.3,79.8,73.6,60,51.3,41
"0020022003",2003,2,48.8,45.5,50.6,55.6,68.3,76.3,83.8,80,74.8,67.3,48.8,43
"0020022004",2004,2,42.8,42.1,58.1,57.9,68.4,75.9,80.1,77.7,71.8,60,47.3,42.8
"0020022005",2005,2,45.1,46.2,49.9,57.2,67.9,74.4,82.7,77.5,73.4,62.8,52.6,43.9
"0020022006",2006,2,44.1,47.8,48.3,59,70,79.5,82.3,77.9,69.8,60.2,52.8,41.8
"0020022007",2007,2,39,46.7,54.5,59.3,68.4,77.3,82,80.5,73.7,62.4,55.3,39.9
"0020022008",2008,2,39.8,45,51.8,58,63.6,77.3,80.4,79.3,73.6,62.9,53.3,42.4
"0020022009",2009,2,45.2,46.6,52.5,57,70.8,73,82.8,79.7,74.1,59.4,52.9,39
"0020022010",2010,2,42.2,44.3,49.2,56.1,63.1,75.9,81.8,79,75.4,62.7,48.3,46.7
