"ID","Year","Region","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"1010011998",1998,"Northeast",5.12,3.5,4.07,3.87,3.96,6.58,3.45,3.08,2.58,3.48,1.92,1.68
"1010011999",1999,"Northeast",5.83,2.03,4.32,2.15,2.79,2.39,2.96,3.32,8.05,3.35,3.14,2.4
"1010012000",2000,"Northeast",3.17,2.92,3.62,5.09,4.81,4.68,4.43,3.71,3.6,2.36,2.75,3.67
"1010012001",2001,"Northeast",1.82,2.29,4.9,1.67,2.89,4.37,3.06,2.93,3.81,1.93,1.98,2.5
"1010012002",2002,"Northeast",2.33,2.14,3.75,4.08,4.82,4.91,2.55,2.38,4.39,4.45,4.15,3.7
"1010012003",2003,"Northeast",2.23,3.22,3.23,2.68,4.61,4.88,4.44,4.89,5.83,5.59,4.24,5.14
"1010012004",2004,"Northeast",2.1,1.8,2.37,4.51,4.83,3.29,5.88,5.76,5.82,2.29,3.73,3.97
"1010012005",2005,"Northeast",4.07,2.34,3.6,4.97,3.12,3.39,4.16,3.79,3.04,9.39,4.93,3.43
"1010012006",2006,"Northeast",4.35,2.08,1.33,3.22,4.65,7.88,4.98,3.95,4.26,6.36,4.28,2.83
"1010012007",2007,"Northeast",3.5,2.26,3.97,5.56,2.32,3.27,4.07,3.81,2.49,4.61,4.4,4.75
"1010012008",2008,"Northeast",2.27,5.57,4.93,3.43,2.95,4.79,5.21,3.87,4.84,3.63,3.39,5.59
"1010012009",2009,"Northeast",2.7,1.71,2.48,3.39,4.68,5.54,5.85,4.94,2.51,5.11,2.9,4.53
"1010012010",2010,"Northeast",2.82,3.06,4.98,2.35,2.92,4.48,3.87,3.54,3.74,6.17,3.44,3.97
"1010012011",2011,"Northeast",2.21,3.41,4.98,6.33,5.42,3.94,3.03,8.28,7.22,4.91,3.24,3.7
"1010012012",2012,"Northeast",3.14,1.46,2.14,2.95,4.62,4.32,3.37,3.84,4.92,5.66,1.1,5.15
"1010012013",2013,"Northeast",2.29,2.56,2.29,2.71,4.37,7.26,4.93,4.01,3.47,2.84,3.71,3.9
"1010012014",2014,"Northeast",2.82,3.3,3.35,3.74,4.66,4.59,5.46,3.74,1.93,4.52,3.06,4.19
"1010012015",2015,"Northeast",2.91,1.9,2.45,3.2,2.46,7.57,3.79,3.02,4.51,3.93,2.21,4.53
"1010012016",2016,"Northeast",2.24,4.36,2.5,2.57,3.26,3.09,3.79,4.03,2.89,4.36,2.49,3.73
"1010012017",2017,"Northeast",3.54,2.59,3.46,4.4,5.88,4.38,5.02,3.57,2.52,5.83,2.56,2.49
"1010012018",2018,"Northeast",3.66,4.1,3.17,4.27,3.62,4.09,5.54,5.29,6.23,4.52,6.52,3.97
"1010012019",2019,"Northeast",4.64,3.06,2.52,4.83,5.4,5.09,4.32,3.96,2.47,6.03,3.13,4.18
"1020011998",1998,"East North Central",1.58,1.37,3.02,2.42,3.44,5.57,2.56,3.78,2.07,3.73,1.81,0.83
"1020011999",1999,"East North Central",1.89,0.94,0.92,3.98,4.5,4.4,5.8,3.34,2.61,1.24,0.88,0.92
"1020012000",2000,"East North Central",1,1.25,1.29,2.01,4,5.5,3.9,3.21,2.71,1.62,2.82,1.59
"1020012001",2001,"East North Central",1.13,1.87,0.78,4.33,5.06,3.97,2.84,3.41,3.52,3,2.08,1.09
"1020012002",2002,"East North Central",0.53,1.27,1.75,3.29,3.2,4.73,4.11,4.84,2.65,3.22,0.58,0.58
"1020012003",2003,"East North Central",0.44,0.71,1.4,2.64,4.18,3.79,3.45,1.74,3.1,1.42,2.83,1.24
"1020012004",2004,"East North Central",1.1,1.17,2.75,1.81,6.75,3.45,3.78,3.36,3.13,3.05,1.7,1.42
"1020012005",2005,"East North Central",1.78,1.27,1.03,2.06,3.24,4.51,3.1,2.98,3.85,2.22,2.83,1.29
"1020012006",2006,"East North Central",1.38,0.82,2.23,2.88,3.38,2.47,3.02,4.14,3.44,2.23,1.59,1.93
"1020012007",2007,"East North Central",1.05,1.19,2.43,3.03,3.3,3.2,2.61,5.97,3.35,4.61,0.57,2.12
"1020012008",2008,"East North Central",1.24,1.45,1.11,4.29,3.42,6.01,4.02,1.88,3.81,2.82,1.68,2.42
"1020012009",2009,"East North Central",0.79,1.31,2.52,2.9,2.69,3.81,2.94,4.66,1.51,5.45,0.95,2.14
"1020012010",2010,"East North Central",0.99,0.77,1.02,2.26,3.47,6.91,5.99,4.14,5.82,1.92,1.69,1.56
"1020012011",2011,"East North Central",1.08,1.13,1.75,3.79,4.12,4.52,3.99,2.96,2.3,1.59,1.73,1.36
"1020012012",2012,"East North Central",1.04,1.34,1.99,2.8,4.49,3.48,2.86,2.45,1.48,3.18,0.99,1.62
"1020012013",2013,"East North Central",1.67,1.54,1.76,4.81,5.37,5.02,2.68,2.23,2.15,3.37,1.94,1.44
"1020012014",2014,"East North Central",1.11,1.26,1.02,4.23,3.48,7.16,2.9,4.5,3.49,2.71,1.68,1.19
"1020012015",2015,"East North Central",0.69,0.71,0.68,2.41,4.84,4.58,3.88,4.09,3.45,2.25,3.24,3.47
"1020012016",2016,"East North Central",0.89,1.05,2.85,2.54,3.08,3.93,5.36,5.41,5.11,2.6,1.75,1.82
