"ID","Year","StateID","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"1010021895",1895,101,18.8,15.6,27.6,43.5,57.1,67.2,65.7,66.7,61.6,42.9,37.6,28.2
"1010021896",1896,101,19.2,22.2,25.3,46.5,59.3,63.2,69.1,67,58,44.9,39.9,23.6
"1010021897",1897,101,20.3,23.6,32,44.2,54.4,60.5,70.1,64.7,58.6,49.4,35.9,26.8
"1010021898",1898,101,21.7,24.8,38,41.2,55.3,64.9,70.3,68.5,61.7,49.5,35.6,24.4
"1010021899",1899,101,20.2,18.1,29.3,44.8,55.9,65.9,68.5,67.2,57.8,50.4,36.2,27.5
"1010021900",1900,101,22.6,21.4,26,44.1,54.2,65.5,69.7,69.7,62.6,53.6,38.2,24.5
"1010021901",1901,101,21,16,30.8,43.8,54.8,65.4,71.7,68,60.1,48.2,31.3,24.6
"1010021902",1902,101,19.5,20.1,37.1,44.3,54.5,61.1,67.3,64.1,59.3,48.5,41.4,22.3
"1010021903",1903,101,21.1,24.5,40.4,44,57.2,59.6,67.1,62.1,59.8,49,32.9,20.2
"1010021904",1904,101,13.6,15,29.8,40.5,58.2,63.6,67.6,64.5,57.9,45.7,32.5,17.9
"1010021905",1905,101,16.7,15.2,31.4,43.1,55.4,63.1,69.1,65,59,48.3,34.2,27.4
"1010021906",1906,101,27.9,22,25.7,43.6,54.8,64.7,68.2,69.1,61.8,48.4,35.7,22.5
"1010021907",1907,101,20.4,15.2,33.3,39.1,50,61.2,68,64.4,60.1,44,35.3,28.3
"1010021908",1908,101,22,18.4,32.7,42.9,56.9,65.1,70.5,65.2,61.7,50.6,36.4,24.6
"1010021909",1909,101,23.2,26.4,29.6,42.6,54.2,64.6,66.3,65.3,58.5,45.9,40.2,22.9
"1010021910",1910,101,22.5,20.6,37.8,48,53.6,61.7,69.5,65.5,59.8,50,33.6,18.9
"1010021911",1911,101,23.5,21.4,28.4,41.2,61.2,63.7,71.2,67.1,58.9,47.4,33.8,31
"1010021912",1912,101,12.4,18.6,27.7,43.5,56.4,61.5,68.4,63.2,59.7,50.1,38,29.5
"1010021913",1913,101,30.2,20.2,35.9,45.8,53.6,63.2,68.6,66.3,58,51.9,39.5,29
"1010021914",1914,101,20.8,14.5,29.6,40.8,57.1,62.9,66.9,66.6,58.2,51.6,34.8,22.3
"1010021915",1915,101,23.1,26.7,28.3,48.1,52,62.1,67.2,64.9,62.1,49.8,37.5,25.2
"1010021916",1916,101,26,18.9,24.2,43.2,55.7,60.3,70.8,68.3,59.3,48.7,35.5,24.7
"1010021917",1917,101,20.8,17.8,31.2,42.3,48.1,62.8,69.3,68,56,44.3,32,15.3
"1010021918",1918,101,11.1,19.8,32.9,43.7,60,60.8,67.7,68.4,55.4,50.4,37.5,28.8
"1010021919",1919,101,25.2,25.4,34.8,42.8,55.3,67.2,69.4,64.5,59.6,50.8,36.2,19.8
"1010021920",1920,101,12.9,19.6,32.7,41,53,63.3,66.5,68,60.6,53.5,34.5,27.7
"1010021921",1921,101,23.8,25.1,40.6,49.8,56.1,65,73,64.7,63.4,48.5,35.3,24.1
"1010021922",1922,101,17.7,24.2,33.8,44.5,57.7,65.4,68.2,65.8,61,49.2,37.3,24.1
"1010021923",1923,101,19.3,16.2,27.9,42.2,53.1,65.4,66.4,64.5,60.4,47.8,36.8,33.4
"1010021924",1924,101,22.1,18.2,31.3,41.4,50.9,61.8,67.3,66.2,56.4,48.5,36.7,22.9
"1010021925",1925,101,16.9,29.2,35.5,45.2,51.2,66.7,66.8,66.1,60.5,41.5,35.2,25.1
"1010021926",1926,101,21.3,20.5,25.9,38.4,52.9,60,67.6,66.8,58.7,46.9,35.9,20.6
"1010021927",1927,101,21.1,26.2,35.2,42.6,52.6,59.9,68,62.4,60,51.3,40.7,27.4
"1010021928",1928,101,23.1,22.6,30.2,40.7,53.5,61.3,69.1,69.2,56.2,49.7,37.4,29.4
"1010021929",1929,101,20.6,21.7,36.2,44.5,54.4,63.9,67.8,63.9,61.1,46.5,36.4,24.8
"1010021930",1930,101,22.3,26.1,31.7,42.2,56.7,66.9,68.5,66,62.7,47.5,38.1,25.4
"1010021931",1931,101,21.7,24.2,32.9,44.6,55.9,64.2,71.5,67.1,63.3,51.5,43.4,30.4
"1010021932",1932,101,32.5,25.6,28.1,41.7,55.6,63.9,67.2,68,60.5,50.4,34.5,28.9
"1010021933",1933,101,30.4,25.8,30.1,44.6,57.4,66.3,68.9,66.8,61.3,47.3,31.4,22.2
"1010021934",1934,101,23,10.4,29.2,44.1,57.3,66.7,70.5,64.2,62.6,46.2,39.8,23
"1010021935",1935,101,18,21.1,34.1,42.3,51.5,63.6,71.2,67.6,57.2,48.5,39.5,20.8
"1010021936",1936,101,18.7,15.6,37.4,41.3,57.6,64.5,68.4,67.6,60.6,48.7,32.7,28.2
"1010021937",1937,101,29.6,26.3,27.6,42.8,56.8,65,69.8,70.9,58.4,46.8,36.7,24
"1010021938",1938,101,20.9,26,35,46.2,54,64.7,69.6,69.9,57.1,50.4,38.6,27
"1010021939",1939,101,21.9,24.9,29.3,40.7,56.8,64.8,68.7,70,60.3,48.5,33.7,26.9
"1010021940",1940,101,13.8,22.3,27,39.9,55.3,63.3,68.7,65.3,57.8,44.9,36.2,27.6
