"ID","Year","Region","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"1010021998",1998,"Northeast",28.7,31.6,36.2,46.8,60.4,64,68.8,68.7,62.1,49.9,39.1,33.3
"1010021999",1999,"Northeast",23,28.2,33,45.5,57.9,67,72.1,67.2,62.9,47.3,42.8,30.2
"1010022000",2000,"Northeast",21.4,27.2,39.1,44.2,56.6,64.5,65.8,66.2,58.9,49.5,37.7,21.3
"1010022001",2001,"Northeast",22.6,26,30.2,45.2,57.4,65.9,66.7,70.5,60.1,50.6,43.2,34.2
"1010022002",2002,"Northeast",29.6,29.7,34.6,47,53,64.6,70.5,70.2,63.4,47.2,36.7,26
"1010022003",2003,"Northeast",16.6,20,32.9,42.9,54,63.5,69,69.8,61.2,47.4,41.6,28.4
"1010022004",2004,"Northeast",15,24,35.9,45.4,59.3,62.7,68.1,67.1,61.9,49,39.7,27.2
"1010022005",2005,"Northeast",20.9,26.2,29.7,46.8,51.6,68.2,71.2,70.4,63.7,50.8,40.8,25.3
"1010022006",2006,"Northeast",31,26.2,34,47.3,56.2,65.4,71.7,67.6,59,48,43.1,34.7
"1010022007",2007,"Northeast",26.7,18,32.7,42.3,57.1,65.8,67.9,68.4,62.4,55.4,37,26.9
"1010022008",2008,"Northeast",26.3,25.4,31.6,48.2,53,66.8,70.3,65.9,61.4,47.6,37.8,27.9
"1010022009",2009,"Northeast",16.7,26.2,34,46.8,56,63,66.2,69.1,59.2,46.7,42.9,26.7
"1010022010",2010,"Northeast",23.9,25.9,39.6,50,59,66.5,72.4,69.1,62.3,49.6,39,24.9
"1010022011",2011,"Northeast",20.3,24.1,33,46.2,58.3,65.6,72.2,68.4,63.2,50.4,43.4,32.7
"1010022012",2012,"Northeast",26.8,30.6,43.4,46,60.5,64.8,72.1,69.6,60.5,51.6,36.5,32.4
"1010022013",2013,"Northeast",25,25.3,32.7,45.1,57.2,65.3,72,66.6,59.6,51.5,36,26.6
"1010022014",2014,"Northeast",18.6,21,26,44.6,56.9,65.6,68.9,66.2,60.9,51.9,36,31.6
"1010022015",2015,"Northeast",18.7,12.1,27.8,44.6,61.2,63.8,69,68.8,65.4,48.4,43.1,39.4
"1010022016",2016,"Northeast",24.7,28.1,38.8,43.4,56.2,65.1,71.2,71.4,63.8,51.4,41,28.3
"1010022017",2017,"Northeast",28.9,31.4,30.3,49.7,54.9,65,69.3,66.4,63.3,55.4,37.4,24.2
"1010022018",2018,"Northeast",21,30.8,31.9,40.6,60.4,64.2,71.5,71.3,64.2,49,34.5,29.3
"1010022019",2019,"Northeast",21.9,25.6,31.3,46.4,55.8,64.1,72,68.1,61.6,51.4,34.4,29
